id,City,Country,Lat,Lon,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,Tokyo,Japan,36.17,139.23,1.427,2.792,5.672,11.543,16.327,19.138,23.8,26.08,21.901,14.143,8.922,4.361
2,Wuhan,China,29.74,114.46,3.465,8.398,11.034,15.308,21.38,25.733,30.206,28.656,24.641,18.08,11.257,7.206
3,Delhi,India,28.13,77.27,14.921,18.315,22.211,28.78,33.604,35.342,31.553,29.638,28.207,26.03,19.28,15.084
4,Moscow,Russia,55.45,36.85,-5.24,-7.159,-6.043,6.998,12.692,13.085,16.028,14.413,10.662,5.966,0.897,-7.846
5,Melbourne,Australia,-37.78,144.41,19.861,18.146,18.2,14.471,10.09,10.105,8.743,8.68,10.815,11.223,14.83,17.393
6,Los Angeles,USA,34.56,-118.7,9.274,8.817,9.429,15.995,15.11,19.699,22.697,23.989,21.532,17.109,13.232,10.611
7,Toronto,Canada,44.2,-80.5,-9.208,-9.926,-2.553,5.875,14.825,17.015,18.152,18.699,13.374,9.087,1.431,-6.075
8,Cape Town,South Africa,-32.95,18.19,19.884,19.809,18.981,16.705,15.446,12.743,12.427,12.451,13.565,15.376,16.673,19.597
9,London,UK,52.24,0,4.061,4.308,2.696,7.618,10.294,13.801,15.198,15.341,13.005,10.546,5.485,1.395
10,Santiago,Chile,-32.95,-69.89,11.728,11.281,11.002,5.644,2.852,-0.499,-2.03,1.594,2.725,5.48,10.274,11.736
11,Anchorage,United States,61.88,-151.13,-15.257,-10.552,-10.643,-1.656,3.207,9.707,12.609,10.51,3.741,-1.59,-11.206,-14.331
12,Bobo Dioulasso,Burkina Faso,10.45,-4.09,26.902,28.279,29.395,28.546,28.511,27.091,27.433,26.456,26.697,27.534,28.021,26.382
