id,City,Country,Lat,Lon,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,Tokyo,Japan,36.17,139.23,0.972,4.231,6.153,11.117,15.153,19.088,23.118,24.681,18.978,14.008,7.508,2.875
2,Wuhan,China,29.74,114.46,3.831,7.717,8.673,17.312,22.294,26.922,28.796,27.96,22.889,17.472,9.663,4.248
3,Delhi,India,28.13,77.27,13.01,17.815,22.978,30.039,33.565,34.651,31.831,30.123,28.456,24.638,19.917,15.193
4,Moscow,Russia,55.45,36.85,-14.991,-12.923,-0.049,2.46,8.93,18.064,15.395,16.658,10.272,-0.393,-2.012,-3.743
5,Melbourne,Australia,-37.78,144.41,18.171,20.522,17.569,12.715,10.345,8.886,7.505,9.29,10.181,12.368,14.279,16.091
6,Los Angeles,USA,34.56,-118.7,9.767,10.901,9.6,11.13,16.182,19.657,22.072,21.53,20.353,15.299,13.251,8.38
7,Toronto,Canada,44.2,-80.5,-13.843,-10.798,-7.252,3.8,12.061,15.261,19.09,15.885,15.526,8.762,2.073,-2.683
8,Cape Town,South Africa,-32.95,18.19,19.509,18.828,18.939,15.66,13.147,12.702,12.317,12.447,12.463,16.158,16.615,19.632
9,London,UK,52.24,0,3.349,5.469,7.512,8.754,12.45,14.429,17.111,13.735,11.439,8.178,6.001,6.46
10,Santiago,Chile,-32.95,-69.89,12.02,11.714,10.172,6.044,1.551,-0.361,-1.745,0.347,3.273,6.073,8.169,11.485
11,Anchorage,United States,61.88,-151.13,-10.697,-8.081,-3.997,0.263,5.771,8.462,11.526,8.79,4.797,-2.851,-9.178,-15.518
12,Bobo Dioulasso,Burkina Faso,10.45,-4.09,26.176,28.493,29.603,30.133,29.82,27.448,27.078,26.935,27.242,27.891,27.563,26.57
